eventID	decimalLatitude	decimalLongitude	Elevation	Still_Flowing	Conductivity	DO	pH	Salinity	Temperature	Turbidity
TAFIRI-2019.05.21-RUF02-A	-8.18884	36.69289	249	1	NA	NA	NA	NA	NA	NA
TAFIRI-2019.05.21-RUF03-A	-8.17793	36.69433	249	1	34.3	NA	6.63	NA	29.7	NA
TAFIRI-2019.05.21-RUF04-A	-8.09444	36.67761	272	1	57.7	NA	7.16	NA	25.8	NA
TAFIRI-2019.05.22-RUF02-B	-8.18884	36.69289	249	1	NA	NA	NA	NA	NA	NA
TAFIRI-2019.05.22-RUF02-C	-8.18897	36.69357	249	1	NA	NA	NA	NA	NA	NA
TAFIRI-2019.05.22-RUF03-B	-8.174	36.69369	249	1	NA	NA	NA	NA	NA	NA
TAFIRI-2019.05.22-RUF05-A	-8.13953	36.67393	263	1	43.2	NA	6.69	NA	28.1	NA
TAFIRI-2019.05.23-RUF06-A	-8.08345	36.7101	273	1	45.9	NA	6.91	NA	26.2	NA
TAFIRI-2019.05.23-RUF07-A	-7.8942	36.87226	304	1	31.2	NA	7.28	NA	23	NA
TAFIRI-2019.05.23-RUF08-A	-7.6658	36.97702	290	1	65.4	NA	7.41	NA	24.4	NA
TAFIRI-2020.07.01-RUF08-B	-7.661817	36.977117	290	1	218.2723	8.1186	8.2885	0.1094	23.3539	9.8496
TAFIRI-2020.07.01-RUF09-A	-7.72235	36.933417	307	1	44.8191	7.5851	8.589	0.0283	20.6948	4.3018
TAFIRI-2020.07.01-RUF10-A	-8.1549	36.3896	284	1	75.3012	9.2112	8.4705	0.0415	24.3193	9.4261
TAFIRI-2020.07.01-RUF11-A	-8.19775	36.303783	273	1	45.2818	7.9812	9.136	0.0282	22.9543	9.5904
TAFIRI-2020.07.02-RUF12-A	-8.620117	35.85345	294	1	25.7498	10.6113	9.148	0.0195	18.6012	8.3857
TAFIRI-2020.07.02-RUF13-A	-8.61135	35.876867	299	1	NA	NA	NA	NA	NA	NA
TAFIRI-2020.07.02-RUF14-A	-8.5055	35.943183	293	1	NA	NA	NA	NA	NA	NA
TAFIRI-2020.07.02-RUF15-A	-8.434883	35.986033	298	1	15.229	9.7261	9.0527	0.0151	20.2914	3.6896
TAFIRI-2020.07.02-RUF16-A	-8.4114	36.01165	294	1	NA	NA	NA	NA	NA	NA
TAFIRI-2020.07.03-RUF02-D	-8.189317	36.692517	249	1	49.4624	4.4716	7.6897	0.0297	24.6891	9.7561
TAFIRI-2020.07.03-RUF10-B	-8.1546	36.389967	284	1	93.2471	8.3327	8.4198	0.0498	24.0279	0.0022
TAFIRI-2020.07.03-RUF17-A	-8.34005	36.08435	286	1	17.8231	8.0152	8.4984	0.0158	18.5388	5.1041
TAFIRI-2020.07.03-RUF17-B	-8.338167	36.084667	293	1	18.0769	7.9096	8.8663	0.0159	18.344	5.3957
TAFIRI-2020.07.03-RUF18-A	-8.3162	36.119967	291	1	53.1136	9.4989	8.8449	0.0323	20.3207	9.8489
TAFIRI-2020.07.03-RUF19-A	-8.10365	36.4887	285	1	75.775	7.1716	8.0055	0.0427	21.5592	9.3499
TAFIRI-2020.07.04-RUF02-E	-8.18945	36.690433	249	1	48.9091	5.3265	7.6599	0.0295	24.3414	9.7665
TAFIRI-2020.07.04-RUF02-F	-8.19075	36.690433	249	1	48.9807	5.2133	7.3881	0.0296	24.2755	9.85
TAFIRI-2020.07.04-RUF02-G	-8.189783	36.6944	249	1	49.123	7.2033	8.1524	0.0296	24.4311	9.8496
TAFIRI-2020.07.04-RUF02-H	-8.189367	36.697833	249	1	49.6204	6.7033	7.6735	0.0296	24.3115	9.8469
TAFIRI-2020.07.04-RUF02-I	-8.1899	36.697583	249	1	49.0637	6.6176	7.6646	0.0298	24.3564	9.8311
TAFIRI-2020.07.04-RUF02-J	-8.19095	36.697583	249	1	NA	NA	NA	NA	24.7075	NA
TAFIRI-2020.07.04-RUF07-B	-7.895233	36.872233	303	1	89.7267	4.7396	7.4171	0.0476	24.5492	9.8499
TAFIRI-2020.07.04-RUF20-A	-8.093283	36.720628	267	1	36.427	9.3461	8.4171	0.025	21.3725	9.8094
TAFIRI-2020.07.23-RUF21-A	-7.842567	38.362167	44	1	102.4085911	8.397587413	6.406615385	0.053011189	24.8051007	9.389232168
TAFIRI-2020.07.23-RUF21-B	-7.8426	38.362167	49	0	140.3454629	2.3157	6.412333333	0.069608333	25.27265833	9.848483333
TAFIRI-2020.07.23-RUF22-A	-7.867633	38.491333	43	0	87.4640131	7.358945882	6.335752941	0.046775882	24.58141706	9.350354706
TAFIRI-2020.07.23-RUF23-A	-7.9066	38.797533	21	0	124.8739203	4.801268103	6.281617816	0.063038793	25.17856034	9.632512931
TAFIRI-2020.07.23-RUF23-B	-7.914283	38.859883	21	0	152.6165913	3.015042342	6.01890991	0.075085586	25.38291982	9.849924324
TAFIRI-2020.07.23-RUF24-A	-7.9389	38.927683	23	0	104.3137111	7.250125568	5.858068182	0.054	24.59634148	9.010483523
TAFIRI-2020.07.24-RUF25-A	-7.99155	38.748017	27	1	702.0922056	3.131832727	5.864054545	0.344537727	24.984685	8.753145909
TAFIRI-2020.07.24-RUF26-A	-7.98565	38.765883	26	1	109.2060998	8.001994845	6.52557732	0.055984536	24.78637526	9.849410309
TAFIRI-2020.07.24-RUF27-A	-8.007	38.7714	29	0	6.488030148	9.070814815	5.935333333	0.01367037	26.51806296	6.767307407
TAFIRI-2020.07.24-RUF28-A	-8.049066	38.878367	23	0	4.966139444	8.333957348	7.176318996	0.012737993	24.58615125	2.55256129
TAFIRI-2020.07.25-RUF29-A	-8.0115	38.9687	19	1	102.3476325	7.595221882	7.921089412	0.053272235	24.50022988	9.315706824
TAFIRI-2020.07.25-RUF29-B	-8.009772	38.972433	19	1	103.421755	7.422097403	8.396211039	0.053633442	24.48429903	9.634375325
TAFIRI-2020.07.25-RUF29-C	-8.012983	38.967217	20	1	102.2774285	7.842279781	8.269579235	0.053183607	24.37636339	8.657225683
TAFIRI-2020.07.25-RUF30-A	-7.9743	38.989567	24	1	229.928535	8.552254167	7.150111111	0.109188889	26.78106111	6.238972222
TAFIRI-2020.07.25-RUF31-A	-7.946183	38.997667	22	0	NA	NA	NA	NA	NA	NA
TAFIRI-2020.07.25-RUF32-A	-7.31085	39.0636	67	0	317.5925984	0.941476471	6.104907563	0.15364958	24.85383782	3.935316807
