eventID	Habitat
TAFIRI-2019.05.21-RUF02-A	Kilombero River (plain)
TAFIRI-2019.05.21-RUF02-A	Kilombero River (plain)
TAFIRI-2019.05.21-RUF02-A	Kilombero River (plain)
TAFIRI-2019.05.21-RUF02-A	Kilombero River (plain)
TAFIRI-2019.05.21-RUF02-A	Kilombero River (plain)
TAFIRI-2019.05.21-RUF02-A	Kilombero River (plain)
TAFIRI-2019.05.21-RUF03-A	Kilombero River (plain)
TAFIRI-2019.05.21-RUF03-A	Kilombero River (plain)
TAFIRI-2019.05.21-RUF03-A	Kilombero River (plain)
TAFIRI-2019.05.21-RUF03-A	Kilombero River (plain)
TAFIRI-2019.05.21-RUF03-A	Kilombero River (plain)
TAFIRI-2019.05.21-RUF03-A	Kilombero River (plain)
TAFIRI-2019.05.21-RUF04-A	Kilombero River (tributory low)
TAFIRI-2019.05.21-RUF04-A	Kilombero River (tributory low)
TAFIRI-2019.05.21-RUF04-A	Kilombero River (tributory low)
TAFIRI-2019.05.21-RUF04-A	Kilombero River (tributory low)
TAFIRI-2019.05.21-RUF04-A	Kilombero River (tributory low)
TAFIRI-2019.05.21-RUF04-A	Kilombero River (tributory low)
TAFIRI-2019.05.22-RUF02-B	Kilombero River (plain)
TAFIRI-2019.05.22-RUF02-B	Kilombero River (plain)
TAFIRI-2019.05.22-RUF02-B	Kilombero River (plain)
TAFIRI-2019.05.22-RUF02-B	Kilombero River (plain)
TAFIRI-2019.05.22-RUF02-B	Kilombero River (plain)
TAFIRI-2019.05.22-RUF02-B	Kilombero River (plain)
TAFIRI-2019.05.22-RUF02-C	Kilombero River (plain)
TAFIRI-2019.05.22-RUF02-C	Kilombero River (plain)
TAFIRI-2019.05.22-RUF02-C	Kilombero River (plain)
TAFIRI-2019.05.22-RUF02-C	Kilombero River (plain)
TAFIRI-2019.05.22-RUF02-C	Kilombero River (plain)
TAFIRI-2019.05.22-RUF02-C	Kilombero River (plain)
TAFIRI-2019.05.22-RUF03-B	Kilombero River (plain)
TAFIRI-2019.05.22-RUF03-B	Kilombero River (plain)
TAFIRI-2019.05.22-RUF03-B	Kilombero River (plain)
TAFIRI-2019.05.22-RUF03-B	Kilombero River (plain)
TAFIRI-2019.05.22-RUF03-B	Kilombero River (plain)
TAFIRI-2019.05.22-RUF03-B	Kilombero River (plain)
TAFIRI-2019.05.22-RUF05-A	Kilombero River (tributory low)
TAFIRI-2019.05.22-RUF05-A	Kilombero River (tributory low)
TAFIRI-2019.05.22-RUF05-A	Kilombero River (tributory low)
TAFIRI-2019.05.22-RUF05-A	Kilombero River (tributory low)
TAFIRI-2019.05.22-RUF05-A	Kilombero River (tributory low)
TAFIRI-2019.05.23-RUF06-A	Kilombero River (tributory low)
TAFIRI-2019.05.23-RUF06-A	Kilombero River (tributory low)
TAFIRI-2019.05.23-RUF06-A	Kilombero River (tributory low)
TAFIRI-2019.05.23-RUF06-A	Kilombero River (tributory low)
TAFIRI-2019.05.23-RUF06-A	Kilombero River (tributory low)
TAFIRI-2019.05.23-RUF06-A	Kilombero River (tributory low)
TAFIRI-2019.05.23-RUF07-A	Kilombero River (tributory high)
TAFIRI-2019.05.23-RUF07-A	Kilombero River (tributory high)
TAFIRI-2019.05.23-RUF07-A	Kilombero River (tributory high)
TAFIRI-2019.05.23-RUF07-A	Kilombero River (tributory high)
TAFIRI-2019.05.23-RUF07-A	Kilombero River (tributory high)
TAFIRI-2019.05.23-RUF07-A	Kilombero River (tributory high)
TAFIRI-2019.05.23-RUF08-A	Great Ruaha River
TAFIRI-2019.05.23-RUF08-A	Great Ruaha River
TAFIRI-2019.05.23-RUF08-A	Great Ruaha River
TAFIRI-2019.05.23-RUF08-A	Great Ruaha River
TAFIRI-2019.05.23-RUF08-A	Great Ruaha River
TAFIRI-2019.05.23-RUF08-A	Great Ruaha River
TAFIRI-2020.07.01-RUF08-B	Great Ruaha River
TAFIRI-2020.07.01-RUF08-B	Great Ruaha River
TAFIRI-2020.07.01-RUF08-B	Great Ruaha River
TAFIRI-2020.07.01-RUF09-A	Kilombero River (tributory high)
TAFIRI-2020.07.01-RUF09-A	Kilombero River (tributory high)
TAFIRI-2020.07.01-RUF09-A	Kilombero River (tributory high)
TAFIRI-2020.07.01-RUF10-A	Kilombero River (tributory low)
TAFIRI-2020.07.01-RUF10-A	Kilombero River (tributory low)
TAFIRI-2020.07.01-RUF10-A	Kilombero River (tributory low)
TAFIRI-2020.07.01-RUF11-A	Kilombero River (tributory low)
TAFIRI-2020.07.01-RUF11-A	Kilombero River (tributory low)
TAFIRI-2020.07.01-RUF11-A	Kilombero River (tributory low)
TAFIRI-2020.07.02-RUF12-A	Kilombero River (tributory high)
TAFIRI-2020.07.02-RUF12-A	Kilombero River (tributory high)
TAFIRI-2020.07.02-RUF12-A	Kilombero River (tributory high)
TAFIRI-2020.07.02-RUF13-A	Kilombero River (tributory high)
TAFIRI-2020.07.02-RUF13-A	Kilombero River (tributory high)
TAFIRI-2020.07.02-RUF13-A	Kilombero River (tributory high)
TAFIRI-2020.07.02-RUF14-A	Kilombero River (tributory high)
TAFIRI-2020.07.02-RUF14-A	Kilombero River (tributory high)
TAFIRI-2020.07.02-RUF14-A	Kilombero River (tributory high)
TAFIRI-2020.07.02-RUF15-A	Kilombero River (tributory high)
TAFIRI-2020.07.02-RUF15-A	Kilombero River (tributory high)
TAFIRI-2020.07.02-RUF15-A	Kilombero River (tributory high)
TAFIRI-2020.07.02-RUF16-A	Kilombero River (tributory high)
TAFIRI-2020.07.02-RUF16-A	Kilombero River (tributory high)
TAFIRI-2020.07.02-RUF16-A	Kilombero River (tributory high)
TAFIRI-2020.07.03-RUF02-D	Kilombero River (plain)
TAFIRI-2020.07.03-RUF02-D	Kilombero River (plain)
TAFIRI-2020.07.03-RUF02-D	Kilombero River (plain)
TAFIRI-2020.07.03-RUF10-B	Kilombero River (tributory low)
TAFIRI-2020.07.03-RUF10-B	Kilombero River (tributory low)
TAFIRI-2020.07.03-RUF10-B	Kilombero River (tributory low)
TAFIRI-2020.07.03-RUF17-A	Kilombero River (tributory low)
TAFIRI-2020.07.03-RUF17-A	Kilombero River (tributory low)
