eventID	Volume_water	Assigned_reads	Total_species
TAFIRI-2019.05.21-RUF02-A	210	55626	21
TAFIRI-2019.05.21-RUF02-A	210	133394	28
TAFIRI-2019.05.21-RUF02-A	210	19052	21
TAFIRI-2019.05.21-RUF02-A	210	87656	19
TAFIRI-2019.05.21-RUF02-A	210	111728	20
TAFIRI-2019.05.21-RUF02-A	210	6431	15
TAFIRI-2019.05.21-RUF03-A	210	242541	29
TAFIRI-2019.05.21-RUF03-A	210	377318	24
TAFIRI-2019.05.21-RUF03-A	210	277428	25
TAFIRI-2019.05.21-RUF03-A	210	508407	27
TAFIRI-2019.05.21-RUF03-A	210	73425	29
TAFIRI-2019.05.21-RUF03-A	210	250962	28
TAFIRI-2019.05.21-RUF04-A	210	73575	31
TAFIRI-2019.05.21-RUF04-A	210	334060	33
TAFIRI-2019.05.21-RUF04-A	210	65352	29
TAFIRI-2019.05.21-RUF04-A	210	277695	36
TAFIRI-2019.05.21-RUF04-A	210	280063	36
TAFIRI-2019.05.21-RUF04-A	210	347336	34
TAFIRI-2019.05.22-RUF02-B	200	487136	38
TAFIRI-2019.05.22-RUF02-B	200	502562	38
TAFIRI-2019.05.22-RUF02-B	200	201246	39
TAFIRI-2019.05.22-RUF02-B	200	401990	38
TAFIRI-2019.05.22-RUF02-B	200	282400	38
TAFIRI-2019.05.22-RUF02-B	200	238425	39
TAFIRI-2019.05.22-RUF02-C	210	670497	42
TAFIRI-2019.05.22-RUF02-C	210	442498	38
TAFIRI-2019.05.22-RUF02-C	210	322160	36
TAFIRI-2019.05.22-RUF02-C	210	733612	38
TAFIRI-2019.05.22-RUF02-C	210	1049434	41
TAFIRI-2019.05.22-RUF02-C	210	471554	39
TAFIRI-2019.05.22-RUF03-B	210	238972	30
TAFIRI-2019.05.22-RUF03-B	210	229647	28
TAFIRI-2019.05.22-RUF03-B	210	163853	34
TAFIRI-2019.05.22-RUF03-B	210	165558	34
TAFIRI-2019.05.22-RUF03-B	210	287375	31
TAFIRI-2019.05.22-RUF03-B	210	95213	30
TAFIRI-2019.05.22-RUF05-A	280	197416	33
TAFIRI-2019.05.22-RUF05-A	280	160966	36
TAFIRI-2019.05.22-RUF05-A	280	150005	30
TAFIRI-2019.05.22-RUF05-A	280	158463	32
TAFIRI-2019.05.22-RUF05-A	280	252236	42
TAFIRI-2019.05.23-RUF06-A	180	276554	17
TAFIRI-2019.05.23-RUF06-A	180	131021	17
TAFIRI-2019.05.23-RUF06-A	180	143589	19
TAFIRI-2019.05.23-RUF06-A	180	58863	27
TAFIRI-2019.05.23-RUF06-A	180	199297	18
TAFIRI-2019.05.23-RUF06-A	180	344922	18
TAFIRI-2019.05.23-RUF07-A	420	144393	17
TAFIRI-2019.05.23-RUF07-A	420	132759	14
TAFIRI-2019.05.23-RUF07-A	420	147779	12
TAFIRI-2019.05.23-RUF07-A	420	106023	12
TAFIRI-2019.05.23-RUF07-A	420	104816	13
TAFIRI-2019.05.23-RUF07-A	420	167999	14
TAFIRI-2019.05.23-RUF08-A	210	31661	6
TAFIRI-2019.05.23-RUF08-A	210	23758	10
TAFIRI-2019.05.23-RUF08-A	210	90412	11
TAFIRI-2019.05.23-RUF08-A	210	140340	12
TAFIRI-2019.05.23-RUF08-A	210	63058	16
TAFIRI-2019.05.23-RUF08-A	210	343370	11
TAFIRI-2020.07.01-RUF08-B	50	1312	8
TAFIRI-2020.07.01-RUF08-B	50	22007	7
TAFIRI-2020.07.01-RUF08-B	50	9424	4
TAFIRI-2020.07.01-RUF09-A	250	262689	12
TAFIRI-2020.07.01-RUF09-A	250	204970	12
TAFIRI-2020.07.01-RUF09-A	250	758408	13
TAFIRI-2020.07.01-RUF10-A	150	355627	9
TAFIRI-2020.07.01-RUF10-A	150	437434	10
TAFIRI-2020.07.01-RUF10-A	150	331450	9
TAFIRI-2020.07.01-RUF11-A	150	784300	43
TAFIRI-2020.07.01-RUF11-A	150	824389	43
TAFIRI-2020.07.01-RUF11-A	150	166661	46
TAFIRI-2020.07.02-RUF12-A	150	952135	33
TAFIRI-2020.07.02-RUF12-A	150	511968	31
TAFIRI-2020.07.02-RUF12-A	150	186879	30
TAFIRI-2020.07.02-RUF13-A	250	64474	21
TAFIRI-2020.07.02-RUF13-A	250	737253	22
TAFIRI-2020.07.02-RUF13-A	250	151045	21
TAFIRI-2020.07.02-RUF14-A	250	820715	29
