speciesName,status,fbSpecCode,validName,class,order,family,genus,commonName,commonSpecies
Ctenopoma,accepted name,NA,Ctenopoma,Actinopteri,Anabantiformes,Anabantidae,Ctenopoma,NA,NA
Anguilla,accepted name,NA,Anguilla,Actinopteri,Anguilliformes,Anguillidae,Anguilla,NA,NA
Micropterus,accepted name,NA,Micropterus,Actinopteri,Centrarchiformes,Centrarchidae,Micropterus,NA,NA
Alestes,accepted name,NA,Alestes,Actinopteri,Characiformes,Alestidae,Alestes,NA,NA
Brycinus,accepted name,NA,Brycinus,Actinopteri,Characiformes,Alestidae,Brycinus,NA,NA
Hemigrammopetersius,accepted name,NA,Hemigrammopetersius,Actinopteri,Characiformes,Alestidae,Hemigrammopetersius,NA,NA
Hydrocynus,accepted name,NA,Hydrocynus,Actinopteri,Characiformes,Alestidae,Hydrocynus,NA,NA
Micralestes,accepted name,NA,Micralestes,Actinopteri,Characiformes,Alestidae,Micralestes,NA,NA
Petersius,accepted name,NA,Petersius,Actinopteri,Characiformes,Alestidae,Petersius,NA,NA
Rhabdalestes,accepted name,NA,Rhabdalestes,Actinopteri,Characiformes,Alestidae,Rhabdalestes,NA,NA
Citharinus,accepted name,NA,Citharinus,Actinopteri,Characiformes,Citharinidae,Citharinus,NA,NA
Distichodus,accepted name,NA,Distichodus,Actinopteri,Characiformes,Distichodontidae,Distichodus,NA,NA
Nannaethiops,accepted name,NA,Nannaethiops,Actinopteri,Characiformes,Distichodontidae,Nannaethiops,NA,NA
Astatotilapia,accepted name,NA,Astatotilapia,Actinopteri,Cichliformes,Cichlidae,Astatotilapia,NA,NA
Coptodon,accepted name,NA,Coptodon,Actinopteri,Cichliformes,Cichlidae,Coptodon,NA,NA
Haplochromis,accepted name,NA,Haplochromis,Actinopteri,Cichliformes,Cichlidae,Haplochromis,NA,NA
Oreochromis,accepted name,NA,Oreochromis,Actinopteri,Cichliformes,Cichlidae,Oreochromis,NA,NA
Pseudocrenilabrus,accepted name,NA,Pseudocrenilabrus,Actinopteri,Cichliformes,Cichlidae,Pseudocrenilabrus,NA,NA
Tilapia,accepted name,NA,Tilapia,Actinopteri,Cichliformes,Cichlidae,Tilapia,NA,NA
Gilchristella,accepted name,NA,Gilchristella,Actinopteri,Clupeiformes,Clupeidae,Gilchristella,NA,NA
Herklotsichthys,accepted name,NA,Herklotsichthys,Actinopteri,Clupeiformes,Clupeidae,Herklotsichthys,NA,NA
Hilsa,accepted name,NA,Hilsa,Actinopteri,Clupeiformes,Clupeidae,Hilsa,NA,NA
Pellona,accepted name,NA,Pellona,Actinopteri,Clupeiformes,Pristigasteridae,Pellona,NA,NA
Cyprinus,accepted name,NA,Cyprinus,Actinopteri,Cypriniformes,Cyprinidae,Cyprinus,NA,NA
Enteromius,accepted name,NA,Enteromius,Actinopteri,Cypriniformes,Cyprinidae,Enteromius,NA,NA
Labeo,accepted name,NA,Labeo,Actinopteri,Cypriniformes,Cyprinidae,Labeo,NA,NA
Labeobarbus,accepted name,NA,Labeobarbus,Actinopteri,Cypriniformes,Cyprinidae,Labeobarbus,NA,NA
Chelaethiops,accepted name,NA,Chelaethiops,Actinopteri,Cypriniformes,Danionidae,Chelaethiops,NA,NA
Engraulicypris,accepted name,NA,Engraulicypris,Actinopteri,Cypriniformes,Danionidae,Engraulicypris,NA,NA
Neobola,accepted name,NA,Neobola,Actinopteri,Cypriniformes,Danionidae,Neobola,NA,NA
Opsaridium,accepted name,NA,Opsaridium,Actinopteri,Cypriniformes,Danionidae,Opsaridium,NA,NA
Nothobranchius,accepted name,NA,Nothobranchius,Actinopteri,Cyprinodontiformes,Nothobranchiidae,Nothobranchius,NA,NA
Pantanodon,accepted name,NA,Pantanodon,Actinopteri,Cyprinodontiformes,Pantanodontidae,Pantanodon,NA,NA
Lacustricola,accepted name,NA,Lacustricola,Actinopteri,Cyprinodontiformes,Procatopodidae,Lacustricola,NA,NA
Lamprichthys,accepted name,NA,Lamprichthys,Actinopteri,Cyprinodontiformes,Procatopodidae,Lamprichthys,NA,NA
Micropanchax,accepted name,NA,Micropanchax,Actinopteri,Cyprinodontiformes,Procatopodidae,Micropanchax,NA,NA
Megalops,accepted name,NA,Megalops,Actinopteri,Elopiformes,Megalopidae,Megalops,NA,NA
Eleotris,accepted name,NA,Eleotris,Actinopteri,Gobiiformes,Eleotridae,Eleotris,NA,NA
Awaous,accepted name,NA,Awaous,Actinopteri,Gobiiformes,Gobiidae,Awaous,NA,NA
Glossogobius,accepted name,NA,Glossogobius,Actinopteri,Gobiiformes,Gobiidae,Glossogobius,NA,NA
Kneria,accepted name,NA,Kneria,Actinopteri,Gonorynchiformes,Kneriidae,Kneria,NA,NA
Parakneria,accepted name,NA,Parakneria,Actinopteri,Gonorynchiformes,Kneriidae,Parakneria,NA,NA
Cyphomyrus,accepted name,NA,Cyphomyrus,Actinopteri,Osteoglossiformes,Mormyridae,Cyphomyrus,NA,NA
Gnathonemus,accepted name,NA,Gnathonemus,Actinopteri,Osteoglossiformes,Mormyridae,Gnathonemus,NA,NA
Hippopotamyrus,accepted name,NA,Hippopotamyrus,Actinopteri,Osteoglossiformes,Mormyridae,Hippopotamyrus,NA,NA
Marcusenius,accepted name,NA,Marcusenius,Actinopteri,Osteoglossiformes,Mormyridae,Marcusenius,NA,NA
Mormyrops,accepted name,NA,Mormyrops,Actinopteri,Osteoglossiformes,Mormyridae,Mormyrops,NA,NA
Mormyrus,accepted name,NA,Mormyrus,Actinopteri,Osteoglossiformes,Mormyridae,Mormyrus,NA,NA
Petrocephalus,accepted name,NA,Petrocephalus,Actinopteri,Osteoglossiformes,Mormyridae,Petrocephalus,NA,NA
Pollimyrus,accepted name,NA,Pollimyrus,Actinopteri,Osteoglossiformes,Mormyridae,Pollimyrus,NA,NA
Amphilius,accepted name,NA,Amphilius,Actinopteri,Siluriformes,Amphiliidae,Amphilius,NA,NA
Zaireichthys,accepted name,NA,Zaireichthys,Actinopteri,Siluriformes,Amphiliidae,Zaireichthys,NA,NA
Bagrus,accepted name,NA,Bagrus,Actinopteri,Siluriformes,Bagridae,Bagrus,NA,NA
Clarias,accepted name,NA,Clarias,Actinopteri,Siluriformes,Clariidae,Clarias,NA,NA
Clarotes,accepted name,NA,Clarotes,Actinopteri,Siluriformes,Claroteidae,Clarotes,NA,NA
Atopochilus,accepted name,NA,Atopochilus,Actinopteri,Siluriformes,Mochokidae,Atopochilus,NA,NA
Chiloglanis,accepted name,NA,Chiloglanis,Actinopteri,Siluriformes,Mochokidae,Chiloglanis,NA,NA
Synodontis,accepted name,NA,Synodontis,Actinopteri,Siluriformes,Mochokidae,Synodontis,NA,NA
Pareutropius,accepted name,NA,Pareutropius,Actinopteri,Siluriformes,Schilbeidae,Pareutropius,NA,NA
Schilbe,accepted name,NA,Schilbe,Actinopteri,Siluriformes,Schilbeidae,Schilbe,NA,NA
Mastacembelus,accepted name,NA,Mastacembelus,Actinopteri,Synbranchiformes,Mastacembelidae,Mastacembelus,NA,NA
Protopterus,accepted name,NA,Protopterus,Dipneusti,Ceratodontiformes,Protopteridae,Protopterus,NA,NA
