catalogNumber,fieldNumber,eventID,eventID,otherCatalogNumbers,institutionCode,individualCount,basisOfRecord,preparations,imageLocation,typeStatus,taxonRank,kingdom,phylum,class,order,family,genus,specificEpithet,scientificNameAuthorship,eventRemarks,identificationQualifier,identifiedBy,identificationRemarks,waterBody,verbatimLocality,recordedBy,samplingProtocol,continent,countryCode,country,stateProvince,decimalLatitude,decimalLongitude,eventDate
,TZ076,TAFIRI-2019.05.23-RUF08-A,TAFIRI-2019.05.20-KIL11-A,,,1,PreservedSpecimen,EtOH,DSC00535,Other material,genus,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,,,,sp.,mtDNA,unknown strain – no blast matches,Great Ruaha River,"Kidatu, market by bridge",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, fish market",Africa,TZ,Tanzania,Morogoro Region,-7.6658,36.97702,2019-05-20
,TZ077,TAFIRI-2019.05.23-RUF08-A,TAFIRI-2019.05.20-KIL11-A,,,1,PreservedSpecimen,EtOH,,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,urolepis,"(Norman, 1922)",,,mtDNA,,Great Ruaha River,"Kidatu, market by bridge",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, fish market",Africa,TZ,Tanzania,Morogoro Region,-7.6658,36.97702,2019-05-20
,TZ078,TAFIRI-2019.05.23-RUF08-A,TAFIRI-2019.05.20-KIL11-A,,,1,PreservedSpecimen,EtOH,DSC00537,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,urolepis,"(Norman, 1922)",,,mtDNA,,Great Ruaha River,"Kidatu, market by bridge",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, fish market",Africa,TZ,Tanzania,Morogoro Region,-7.6658,36.97702,2019-05-20
,TZ079,TAFIRI-2019.05.20-MG09-A,TAFIRI-2019.05.20-MG09-A,,,1,PreservedSpecimen,EtOH,DSC00540,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,leucostictus,"(Trewavas, 1933)",,,mtDNA,,Great Ruaha River,"Kidatu, Mangula A, Mr Majicka fish pond",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,Seine,Africa,TZ,Tanzania,Morogoro Region,-7.83466,36.90796,2019-05-20
,TZ080,TAFIRI-2019.05.20-MG09-A,TAFIRI-2019.05.20-MG09-A,,,1,PreservedSpecimen,EtOH,DSC00542,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,leucostictus,"(Trewavas, 1933)",,,mtDNA,,Great Ruaha River,"Kidatu, Mangula A, Mr Majicka fish pond",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,Seine,Africa,TZ,Tanzania,Morogoro Region,-7.83466,36.90796,2019-05-20
,TZ081,TAFIRI-2019.05.20-MG10-A,TAFIRI-2019.05.20-MG10-A,,,1,PreservedSpecimen,EtOH,,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,urolepis,"(Norman, 1922)",,,mtDNA,,Great Ruaha River,"Kidatu, Mangula B, School, Mr Ahmed fish pond",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,Seine,Africa,TZ,Tanzania,Morogoro Region,-7.84118,36.8921,2019-05-20
,TZ082,TAFIRI-2019.05.20-MG10-A,TAFIRI-2019.05.20-MG10-A,,,1,PreservedSpecimen,EtOH,,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,urolepis,"(Norman, 1922)",,,mtDNA,,Great Ruaha River,"Kidatu, Mangula B, School, Mr Ahmed fish pond",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,Seine,Africa,TZ,Tanzania,Morogoro Region,-7.84118,36.8921,2019-05-20
,TZ083,TAFIRI-2019.05.20-MG10-A,TAFIRI-2019.05.20-MG10-A,,,1,PreservedSpecimen,EtOH,P5200075,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Astatotilapia,gigliolii,"(Pfeffer, 1896)",,,mtDNA,,Great Ruaha River,"Kidatu, Mangula B, School, Mr Ahmed fish pond",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,Seine,Africa,TZ,Tanzania,Morogoro Region,-7.84118,36.8921,2019-05-20
,TZ084,TAFIRI-2019.05.20-MG10-A,TAFIRI-2019.05.20-MG10-A,,,1,PreservedSpecimen,EtOH,P5200075,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Astatotilapia,gigliolii,"(Pfeffer, 1896)",,,mtDNA,,Great Ruaha River,"Kidatu, Mangula B, School, Mr Ahmed fish pond",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,Seine,Africa,TZ,Tanzania,Morogoro Region,-7.84118,36.8921,2019-05-20
,TZ085,TAFIRI-2019.05.20-MG10-A,TAFIRI-2019.05.20-MG10-A,,,1,PreservedSpecimen,EtOH,P5200075,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Astatotilapia,gigliolii,"(Pfeffer, 1896)",,,mtDNA,,Great Ruaha River,"Kidatu, Mangula B, School, Mr Ahmed fish pond",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,Seine,Africa,TZ,Tanzania,Morogoro Region,-7.84118,36.8921,2019-05-20
063-KIL01-05-19,TZ086,TAFIRI-2019.05.21-RUF01-A,TAFIRI-2019.05.21-KIL01-A,,,1,PreservedSpecimen,EtOH,P5210090,Other material,species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,congoro,"Peters, 1852",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, town fish market",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, fish market",Africa,TZ,Tanzania,Morogoro Region,-8.138197,36.67882,2019-05-21
064-KIL01-05-19,TZ087,TAFIRI-2019.05.21-RUF01-A,TAFIRI-2019.05.21-KIL01-A,,,1,PreservedSpecimen,EtOH,P5210091,Other material,species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,congoro,"Peters, 1852",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, town fish market",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, fish market",Africa,TZ,Tanzania,Morogoro Region,-8.138197,36.67882,2019-05-21
065-KIL01-05-19,TZ088,TAFIRI-2019.05.21-RUF01-A,TAFIRI-2019.05.21-KIL01-A,,,1,PreservedSpecimen,EtOH,P5210092,Other material,species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeobarbus,macrolepis,"(Pfeffer, 1889)",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, town fish market",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, fish market",Africa,TZ,Tanzania,Morogoro Region,-8.138197,36.67882,2019-05-21
066-KIL01-05-19,TZ089,TAFIRI-2019.05.21-RUF01-A,TAFIRI-2019.05.21-KIL01-A,,,1,PreservedSpecimen,EtOH,P5210093,Other material,species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeobarbus,macrolepis,"(Pfeffer, 1889)",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, town fish market",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, fish market",Africa,TZ,Tanzania,Morogoro Region,-8.138197,36.67882,2019-05-21
067-KIL01-05-19,TZ090,TAFIRI-2019.05.21-RUF01-A,TAFIRI-2019.05.21-KIL01-A,,,1,PreservedSpecimen,EtOH,P5210094,Other material,species,Animalia,Chordata,Actinopterygii,Characiformes,Distichodontidae,Distichodus,petersii,"Pfeffer, 1896",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, town fish market",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, fish market",Africa,TZ,Tanzania,Morogoro Region,-8.138197,36.67882,2019-05-21
068-KIL01-05-19,TZ091,TAFIRI-2019.05.21-RUF01-A,TAFIRI-2019.05.21-KIL01-A,,,1,PreservedSpecimen,EtOH,P5210095,Other material,species,Animalia,Chordata,Actinopterygii,Characiformes,Distichodontidae,Distichodus,petersii,"Pfeffer, 1896",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, town fish market",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, fish market",Africa,TZ,Tanzania,Morogoro Region,-8.138197,36.67882,2019-05-21
069-KIL01-05-19,TZ092,TAFIRI-2019.05.21-RUF01-A,TAFIRI-2019.05.21-KIL01-A,,,1,PreservedSpecimen,EtOH,P5210096,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Clariidae,Clarias,gariepinus,"(Burchell, 1822)",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, town fish market",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, fish market",Africa,TZ,Tanzania,Morogoro Region,-8.138197,36.67882,2019-05-21
070-KIL01-05-19,TZ093,TAFIRI-2019.05.21-RUF01-A,TAFIRI-2019.05.21-KIL01-A,,,1,PreservedSpecimen,EtOH,P5210098,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Clariidae,Clarias,gariepinus,"(Burchell, 1822)",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, town fish market",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, fish market",Africa,TZ,Tanzania,Morogoro Region,-8.138197,36.67882,2019-05-21
071-KIL01-05-19,TZ094,TAFIRI-2019.05.21-RUF01-A,TAFIRI-2019.05.21-KIL01-A,,,1,PreservedSpecimen,EtOH,P5210099,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,urolepis,"(Norman, 1922)",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, town fish market",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, fish market",Africa,TZ,Tanzania,Morogoro Region,-8.138197,36.67882,2019-05-21
072-KIL01-05-19,TZ095,TAFIRI-2019.05.21-RUF01-A,TAFIRI-2019.05.21-KIL01-A,,,1,PreservedSpecimen,EtOH,P5210100,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,urolepis,"(Norman, 1922)",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, town fish market",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, fish market",Africa,TZ,Tanzania,Morogoro Region,-8.138197,36.67882,2019-05-21
073-KIL01-05-19,TZ096,TAFIRI-2019.05.21-RUF01-A,TAFIRI-2019.05.21-KIL01-A,,,1,PreservedSpecimen,EtOH,,Other material,species,Animalia,Chordata,Actinopterygii,Characiformes,Alestidae,Hydrocynus,tanzaniae,"Brewster, 1986",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, town fish market",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, fish market",Africa,TZ,Tanzania,Morogoro Region,-8.138197,36.67882,2019-05-21
074-KIL01-05-19,TZ097,TAFIRI-2019.05.21-RUF01-A,TAFIRI-2019.05.21-KIL01-A,,,1,PreservedSpecimen,EtOH,,Other material,species,Animalia,Chordata,Actinopterygii,Characiformes,Alestidae,Hydrocynus,tanzaniae,"Brewster, 1986",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, town fish market",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, fish market",Africa,TZ,Tanzania,Morogoro Region,-8.138197,36.67882,2019-05-21
075-KIL01-05-19,TZ098,TAFIRI-2019.05.21-RUF01-A,TAFIRI-2019.05.21-KIL01-A,,,1,PreservedSpecimen,EtOH,DSC00560,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Mochokidae,Synodontis,rufigiensis,"Bailey, 1968",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, town fish market",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, fish market",Africa,TZ,Tanzania,Morogoro Region,-8.138197,36.67882,2019-05-21
076-KIL01-05-19,TZ099,TAFIRI-2019.05.21-RUF01-A,TAFIRI-2019.05.21-KIL01-A,,,1,PreservedSpecimen,EtOH,DSC00561,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Mochokidae,Synodontis,rufigiensis,"Bailey, 1968",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, town fish market",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, fish market",Africa,TZ,Tanzania,Morogoro Region,-8.138197,36.67882,2019-05-21
077-KIL01-05-19,TZ100,TAFIRI-2019.05.21-RUF01-A,TAFIRI-2019.05.21-KIL01-A,,,1,PreservedSpecimen,EtOH,,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Mochokidae,Synodontis,rufigiensis,"Bailey, 1968",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, town fish market",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, fish market",Africa,TZ,Tanzania,Morogoro Region,-8.138197,36.67882,2019-05-21
078-KIL01-05-19,TZ101,TAFIRI-2019.05.21-RUF01-A,TAFIRI-2019.05.21-KIL01-A,,,1,PreservedSpecimen,EtOH,DSC00563,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Mochokidae,Synodontis,rufigiensis,"Bailey, 1968",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, town fish market",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, fish market",Africa,TZ,Tanzania,Morogoro Region,-8.138197,36.67882,2019-05-21
079-KIL01-05-19,TZ102,TAFIRI-2019.05.21-RUF01-A,TAFIRI-2019.05.21-KIL01-A,,,1,PreservedSpecimen,EtOH,DSC00564,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Mochokidae,Synodontis,rukwaensis,"Hilgendorf & Pappenheim, 1903",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, town fish market",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, fish market",Africa,TZ,Tanzania,Morogoro Region,-8.138197,36.67882,2019-05-21
080-KIL01-05-19,TZ103,TAFIRI-2019.05.21-RUF01-A,TAFIRI-2019.05.21-KIL01-A,,,1,PreservedSpecimen,EtOH,,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Mochokidae,Synodontis,rufigiensis,"Bailey, 1968",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, town fish market",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, fish market",Africa,TZ,Tanzania,Morogoro Region,-8.138197,36.67882,2019-05-21
081-KIL01-05-19,TZ104,TAFIRI-2019.05.21-RUF01-A,TAFIRI-2019.05.21-KIL01-A,,,1,PreservedSpecimen,EtOH,,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Mochokidae,Synodontis,rukwaensis,"Hilgendorf & Pappenheim, 1903",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, town fish market",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, fish market",Africa,TZ,Tanzania,Morogoro Region,-8.138197,36.67882,2019-05-21
082-KIL01-05-19,TZ105,TAFIRI-2019.05.21-RUF01-A,TAFIRI-2019.05.21-KIL01-A,,,1,PreservedSpecimen,EtOH,DSC00568,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Mochokidae,Synodontis,rukwaensis,"Hilgendorf & Pappenheim, 1903",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, town fish market",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, fish market",Africa,TZ,Tanzania,Morogoro Region,-8.138197,36.67882,2019-05-21
083-KIL01-05-19,TZ106,TAFIRI-2019.05.21-RUF01-A,TAFIRI-2019.05.21-KIL01-A,,,1,PreservedSpecimen,EtOH,DSC00572,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Mochokidae,Synodontis,rukwaensis,"Hilgendorf & Pappenheim, 1903",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, town fish market",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, fish market",Africa,TZ,Tanzania,Morogoro Region,-8.138197,36.67882,2019-05-21
